Date,Open,High,Low,Close,Adj Close,Volume
2016-12-31,959.039978,965.469971,942.400024,963.380005,963.380005,26379401
2017-01-01,963.380005,1001.609985,956.099976,995.440002,995.440002,40570922
2017-01-02,995.440002,1031.680054,990.200012,1017.049988,1017.049988,66038073
2017-01-03,1017.049988,1035.469971,1006.530029,1033.300049,1033.300049,56085870
2017-01-04,1033.300049,1148.540039,1022.320007,1135.410034,1135.410034,170584623
2017-01-05,1135.410034,1150.630005,874.530029,989.349976,989.349976,244839289
2017-01-06,989.349976,1027.420044,852.549988,886.159973,886.159973,179160668
2017-01-07,886.159973,900.859985,806.659973,888.869995,888.869995,113037531
2017-01-08,888.869995,936.130005,875.849976,900.859985,900.859985,70298340
2017-01-09,900.859985,910.469971,870.909973,899.780029,899.780029,55963281
2017-01-10,899.780029,911.320007,890.119995,904.369995,904.369995,48644106
2017-01-11,904.369995,917.650024,751.630005,785.429993,785.429993,160194109
2017-01-12,785.429993,828.210022,739.549988,810.109985,810.109985,93986701
2017-01-13,810.109985,835.049988,771.000000,824.830017,824.830017,72555875
2017-01-14,824.830017,838.900024,808.270020,819.630005,819.630005,36594482
2017-01-15,819.630005,826.429993,808.630005,821.169983,821.169983,20004735
2017-01-16,821.169983,836.659973,817.700012,827.340027,827.340027,27592899
2017-01-17,827.340027,906.380005,825.039978,899.659973,899.659973,72272727
2017-01-18,899.659973,913.669983,845.869995,872.030029,872.030029,61042392
2017-01-19,872.030029,905.280029,870.710022,895.210022,895.210022,52300814
2017-01-20,895.210022,901.489990,878.900024,892.909973,892.909973,34847130
2017-01-21,892.909973,928.929993,889.460022,919.840027,919.840027,37129176
2017-01-22,919.840027,938.380005,888.619995,918.840027,918.840027,44074299
2017-01-23,918.840027,927.979980,910.849976,921.460022,921.460022,30261054
2017-01-24,921.460022,925.609985,889.150024,893.750000,893.750000,53468911
2017-01-25,893.750000,905.700012,883.630005,894.409973,894.409973,34014866
2017-01-26,894.409973,919.320007,893.489990,915.559998,915.559998,30795685
2017-01-27,915.559998,922.559998,907.919983,918.010010,918.010010,28503144
2017-01-28,918.010010,921.890015,912.840027,918.510010,918.510010,13251844
2017-01-29,918.510010,922.400024,912.679993,914.549988,914.549988,10214368
2017-01-30,914.549988,922.349976,911.510010,920.729980,920.729980,17604172
2017-01-31,920.729980,967.450012,917.380005,965.489990,965.489990,51869216
2017-02-01,965.489990,986.570007,959.820007,982.429993,982.429993,44035816
2017-02-02,982.429993,1009.130005,973.500000,1003.969971,1003.969971,50633910
